"National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

"
2015 Prohibited Species Catch Crab (includes CDQ)
Through Date:
December 31 2015

SPECIES,SPECIES NAME,GEAR,REPORTING AREA,TARGET,WEEK,SECTOR,GROUNDFISH (MT),NUMBER OF CRAB,NUMBER OF CRAB/MT GROUNDFISH
BKCR,Blue King Crab,HAL,509,Pacific Cod,1/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,1/10/15,Catcher Processor,656.846,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,1/17/15,Catcher Processor,503.724,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,1/24/15,Catcher Processor,666.343,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,1/31/15,Catcher Processor,696.817,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,2/7/15,Catcher Processor,773.354,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,2/14/15,Catcher Processor,1125.167,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,2/21/15,Catcher Processor,1433.862,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,2/28/15,Catcher Processor,2042.511,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,3/7/15,Catcher Processor,1997.429,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,3/14/15,Catcher Processor,1434.049,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,3/21/15,Catcher Processor,1206.125,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,3/28/15,Catcher Processor,1340.252,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,4/4/15,Catcher Processor,1361.243,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,4/11/15,Catcher Processor,769.23,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,4/18/15,Catcher Processor,616.95,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,4/25/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,6/27/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,7/11/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,8/8/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,8/15/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,8/22/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,8/29/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,9/5/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,9/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,9/19/15,Catcher Processor,40.358,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,9/26/15,Catcher Processor,130.378,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,10/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,10/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,10/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,10/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,10/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,11/14/15,Catcher Processor,25.226,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,11/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,12/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,509,Pacific Cod,12/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,1/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,1/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,1/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,1/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,2/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,2/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,8/29/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,512,Pacific Cod,11/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,1/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,1/10/15,Catcher Processor,309.227,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,1/17/15,Catcher Processor,C,0,0
